protein-water,protein-carbon,hydrogen bond (long-range),pi-pi (long-range),disorder (long),K-Beta similarity,disorder (short),electrostatic (short-range),8-feature sum
121,73,-105,-28,-123,-110,-3,103,-72
58,12,-62,47,-129,-78,17,63,-72
12,19,-31,-36,-44,-47,-21,49,-99
-6,11,-10,-20,-32,-24,0,49,-32
72,-27,40,11,-77,-78,-17,117,41
55,-2,-74,7,-185,-154,-28,108,-273
15,26,-61,-73,-142,-127,6,47,-309
1,22,-34,-7,-33,-39,-22,26,-86
8,22,-56,-23,-90,-86,-16,42,-199
3,2,-26,-24,-33,-25,0,33,-70
20,44,-8,-40,-40,-105,-22,62,-89
13,16,-75,-37,-73,-116,-28,50,-250
1,39,-45,-41,-78,-36,15,84,-61
68,8,-9,12,-84,-83,-47,70,-65
0,2,-54,-18,-95,-34,-7,75,-131
4,-6,-14,-3,-20,-21,-14,61,-13
8,35,1,-16,-22,-48,-14,50,-6
9,7,-48,-8,-76,-51,3,28,-136
8,-18,-53,-39,-81,-117,-24,74,-250
63,35,-101,-65,-224,-221,-38,96,-455
-12,20,-16,-63,-52,-55,-38,67,-149
36,24,-32,-5,-14,-31,21,9,8
22,8,-49,-10,-50,-65,3,14,-127
15,2,-35,-27,-55,-38,5,48,-85
31,22,-58,-15,-62,-91,-21,51,-143
33,-10,-33,9,-63,-64,-2,43,-87
-12,14,-15,6,-45,-48,-10,53,-57
-20,-37,-169,-155,-177,-151,-17,55,-671
22,14,-40,-23,-36,-67,-14,40,-104
-1,5,-13,-27,-65,-81,-15,47,-150
7,-12,-67,-39,-132,-58,-15,51,-265
-9,34,-33,-24,-49,-40,-17,51,-87
11,-11,-40,-24,-64,-61,-30,42,-177
20,-12,-51,-57,-97,-83,-31,86,-225
-3,19,-35,-60,-109,-78,2,78,-186
24,7,-30,-13,-45,-28,23,43,-19
-4,25,-39,-49,-58,-87,-1,88,-125
1,-2,-34,-5,-41,-86,-27,9,-185
-1,16,-36,-16,-29,-8,-8,23,-59
17,-9,-75,-37,-101,-134,-14,31,-322
-17,-4,-41,-30,-40,-37,-10,43,-136
18,19,-57,0,-92,-150,4,58,-200
22,49,-52,-15,-60,-132,-6,52,-142
8,5,-11,-17,-26,-31,-7,19,-60
1,13,-47,3,-113,-98,-22,42,-221
-31,5,-94,-60,-156,-66,-37,60,-379
9,-3,-18,-4,-50,-44,5,38,-67
16,25,-33,-30,-55,-65,3,85,-54
25,-12,-37,-3,-53,-52,-19,29,-122
3,27,-36,-26,-28,-56,0,43,-73
52,86,-94,-65,-125,-155,20,120,-161
-1,34,-29,-11,-26,-42,24,74,23
12,26,-25,-17,-19,-12,21,68,54
23,-4,-42,-29,-65,-122,-19,51,-207
9,11,-14,-11,-36,-57,-17,11,-104
21,20,-57,-30,-149,-99,-2,66,-230
9,12,-8,4,-35,-35,-18,42,-29
-20,2,-42,-28,-64,-33,-7,54,-138
6,19,-9,-12,-28,-44,-11,45,-34
-1,-18,-27,-42,-6,-40,-23,7,-150
36,1,-64,-14,-91,-60,-8,47,-153
3,17,-29,-33,-35,-33,13,63,-34
9,-6,-63,-33,-138,-149,-55,88,-347
-3,-12,-11,-32,-62,-16,-12,71,-77
26,3,-35,-11,-84,-52,5,58,-90
-9,-10,-58,-51,-82,-56,-30,19,-277
9,11,-19,-27,-81,-63,24,66,-80
27,-9,-28,-27,-63,-75,-23,21,-177
-6,18,-35,-22,-46,-55,-34,26,-154
21,0,-32,-25,-48,-57,4,43,-94
17,21,16,29,-55,0,-7,75,96
45,-29,-11,-41,-64,-51,-21,66,-106
19,32,-19,-12,-33,-49,-14,77,1
24,11,-31,-29,-43,-49,-16,72,-61
29,21,-36,-10,-27,-40,-2,24,-41
-2,-4,-77,-54,-100,-58,-2,43,-254
19,37,-90,-35,-239,-202,-52,167,-395
14,3,-15,-12,-72,-29,-6,42,-75
-5,20,-28,-12,-44,-26,-4,30,-69
4,21,-13,-30,-14,-7,-1,24,-16
-9,-7,-46,-32,-128,-24,-19,75,-190
36,-9,-33,-3,-86,-65,11,58,-91
22,44,-21,-17,-42,-78,-9,38,-63
6,22,-35,-11,-66,-46,-13,44,-99
46,4,-56,-25,-117,-75,6,28,-189
-3,-2,-29,-18,-97,-65,-2,75,-141
-1,19,-35,-41,-156,-111,11,154,-160
-2,5,-22,-31,-64,-26,4,34,-102
0,16,-59,-25,-72,-71,-17,76,-152
20,11,-17,-12,-49,-54,-1,38,-64
20,8,-29,-14,-105,-67,0,54,-133
-15,17,-41,-44,-36,-19,-5,24,-119
-3,61,-76,-21,-78,-65,8,91,-83
5,18,-30,-37,-22,-68,-39,49,-124
22,14,11,-12,-9,-39,9,44,40
17,10,-29,-6,-53,-44,-14,28,-91
-3,-9,-30,-27,-28,-28,-6,25,-106
16,-12,-38,6,-76,-56,10,32,-118
44,20,-50,-46,-91,-100,11,54,-158
47,44,-40,-23,-65,-99,-5,59,-82
0,6,-23,-16,-44,-33,-20,39,-91
-13,-10,-19,-27,-41,-27,0,27,-110
6,20,-22,-18,-15,-54,-12,26,-69
14,14,-30,-22,-33,-62,-8,26,-101
-13,25,-29,-11,-96,-31,-1,75,-81
3,6,-26,-7,-97,-38,12,48,-99
20,-3,-14,-22,-26,-49,-15,15,-94
2,27,-4,-11,-2,-40,3,45,20
-2,23,-38,-34,-34,-110,-6,59,-142
-4,14,-12,-36,-40,-26,6,49,-49
24,25,-61,-29,-92,-58,3,45,-143
-3,10,-34,-19,-30,-22,-12,25,-85
72,60,-55,21,-114,-42,58,114,114
-6,4,-22,-28,-38,-36,-15,43,-98
-9,22,-46,5,-122,-34,21,69,-94
-25,27,-60,-47,-87,-66,-2,55,-205
14,45,2,5,-90,-30,10,74,30
-33,-33,-52,-8,-103,-63,-35,59,-268
18,3,-40,-27,-99,-52,-13,41,-169
13,11,-37,-3,-71,-63,1,43,-106
-4,-1,-45,-49,-77,-60,-21,46,-211
39,-4,-42,-39,-95,-104,3,35,-207
23,18,-29,-50,-41,-68,-5,41,-111
13,28,-46,-21,-55,-57,1,61,-76
3,-10,-17,-43,-30,-16,-8,26,-95
17,1,-21,4,-106,-46,8,54,-89
6,27,-54,-55,-101,-16,7,72,-114
47,87,9,-19,-51,-291,-108,222,-104
17,16,-60,-37,-95,-86,6,58,-181
-25,-5,-89,-74,-144,-66,-15,65,-353
-4,64,-118,-102,-138,-99,16,74,-307
10,18,1,-11,-23,-34,-14,43,-10
-13,-7,-50,-60,-89,-134,-19,102,-270
27,65,-25,-2,-39,-47,14,28,21
12,14,-25,-15,-51,-36,20,46,-35
-14,33,-55,-25,-55,-52,-3,52,-119
7,-4,-27,-18,-103,-58,-25,62,-166
26,24,-24,-14,-32,-47,1,34,-32
25,47,-52,-8,-56,-142,-7,66,-127
4,23,-27,-16,-65,-86,-10,34,-143
13,-24,-45,0,-50,-89,-34,14,-215
9,19,-31,-16,-65,-25,11,64,-34
35,5,-39,-34,-71,-76,-22,71,-131
26,39,-9,-2,-15,-15,20,32,76
17,21,-43,-26,-122,-56,-1,57,-153
4,7,-37,-22,-27,-60,-6,36,-105
-3,1,-102,-25,-150,-89,-20,81,-307
-19,-7,-27,-45,-55,-53,-24,69,-161
-1,22,-37,-32,-58,-59,-6,64,-107
0,36,-39,-37,-91,-126,-29,91,-195
13,2,-21,7,-17,-33,0,31,-18
-6,-8,-43,-19,-52,-66,-26,23,-197
39,-8,-45,-8,-89,-63,-12,23,-163
-7,4,-56,-50,-81,-53,-28,57,-214
20,21,-56,-33,-71,-84,-19,60,-162
5,10,-31,-23,-67,-26,2,39,-91
-18,-21,-91,-42,-112,-91,-16,63,-328
7,-1,-52,-60,-45,-80,-14,26,-219
-21,37,-85,-67,-71,-57,-7,45,-226
3,21,-15,11,-110,-27,-27,98,-46
1,40,-49,-39,-80,-111,-20,97,-161
26,10,-31,-27,-43,12,-5,66,8
3,-6,-35,-15,-42,-51,4,17,-125
14,19,-17,-37,-12,-30,6,35,-22
15,35,-45,-11,-92,-5,57,87,41
28,0,-70,-26,-122,-99,5,31,-253
-7,-13,-23,-7,-45,-32,-3,24,-106
6,16,-7,2,-24,-20,3,24,0
128,10,-108,-36,-227,-200,-16,114,-335
1,-3,-23,-27,-39,-35,-5,19,-112
32,31,17,-7,-40,-83,-23,77,4
17,16,-31,-14,-40,-49,-28,60,-69
51,10,-46,12,-83,-93,4,78,-67
0,3,-25,-30,-43,-48,10,31,-102
11,41,-14,-14,-5,-5,28,41,83
7,-1,-23,-18,-29,-30,-23,48,-69
22,-14,-55,-7,-82,-106,-40,106,-176
7,6,-11,-19,-29,-84,-8,43,-95
-17,9,-48,-55,-62,-6,-2,49,-132
18,-4,-40,-30,-108,-57,5,115,-101
0,-10,-16,-41,-13,-60,-3,43,-100
61,9,-16,0,-88,-105,-24,122,-41
24,14,-47,-51,-55,-104,-22,75,-166
21,21,-11,-44,-62,-58,-9,105,-37
5,3,-39,-49,-72,-37,-22,19,-192
44,29,-44,-48,-95,-43,-15,89,-83
12,0,-48,-63,-90,-98,-12,70,-229
7,2,-21,2,-53,-53,-14,44,-86
24,-33,-10,-21,-70,-59,-20,49,-140
69,47,-71,-7,-80,-84,-37,76,-87
-13,20,-38,-13,-92,-42,5,43,-130
35,24,-41,-8,-38,-37,18,30,-17
14,4,-27,-14,-26,-58,-17,20,-104
24,47,-14,-8,-34,-49,-6,61,21
64,19,-84,-31,-158,-146,21,100,-215
22,1,-24,3,-31,-70,-26,51,-74
23,17,-3,-23,-41,-53,-13,69,-24
17,13,-18,-6,-37,-35,0,10,-56
-28,-7,-53,6,-59,-45,-25,36,-175
-6,12,-3,-4,-12,-17,0,61,31
26,16,-22,-9,-32,-40,0,38,-23
-7,-2,-62,-41,-85,-29,-2,47,-181
2,51,15,-19,-2,-43,-13,84,75
16,-11,-26,-24,-58,-89,-25,37,-180
16,23,-31,-36,-42,-42,7,52,-53
10,13,-7,-12,-31,-37,-8,22,-50
34,52,-57,-52,-111,-125,-46,133,-172
-15,15,-24,-22,-44,-43,-10,8,-135
9,9,-9,0,-41,-60,-8,30,-70
17,30,-42,-13,-46,-60,2,36,-76
30,-2,-44,-32,-103,-105,-1,36,-221
46,17,-18,-2,-39,-57,-13,69,3
13,21,-31,-29,-58,-56,-25,44,-121
27,11,-25,-12,-52,-63,-7,37,-84
55,-1,-75,-8,-186,-93,21,106,-181
13,22,-34,-22,-42,-90,-15,26,-142
8,4,-15,-11,-34,-21,-10,18,-61
10,7,-29,-28,-17,-79,-20,16,-140
7,-6,-11,1,-57,-39,-7,44,-68
16,18,-37,-2,-64,-51,4,71,-45
9,16,-22,-32,-51,-30,5,55,-50
36,-26,-54,-37,-73,-106,-18,27,-251
-4,20,-50,-63,-109,-86,-5,98,-199
23,-2,-21,-34,-42,-55,-17,55,-93
28,12,-20,-26,-48,-60,-2,25,-91
37,4,33,-36,-21,-56,-15,100,46
1,-13,-31,-12,-73,-66,-3,29,-168
2,15,-24,-17,-78,-48,-3,29,-124
10,-21,-38,-14,-49,-49,9,37,-115
36,11,-77,-30,-104,-163,-8,56,-279
-11,3,-35,-2,-95,-71,-29,53,-187
86,-9,-83,-51,-130,-144,10,122,-199
47,-3,-16,-11,-30,-91,-15,77,-42
14,33,-5,-12,-25,-34,-3,38,6
-3,32,-15,-35,-27,-55,-3,65,-41
9,-12,-36,-23,-40,-65,-16,25,-158
12,39,-53,-26,-90,-97,-10,15,-210
10,5,-30,-8,-57,-56,8,32,-96
8,8,-38,-1,-99,-44,23,67,-76
-2,38,-63,-61,-67,-79,-9,13,-230
-8,6,-48,-36,-91,-79,2,42,-212
20,28,-36,-19,-58,-47,-4,40,-76
3,25,-81,-74,-136,-73,-6,116,-226
11,33,-4,-12,-16,-55,-11,11,-43
-1,15,-8,-9,-15,-32,3,19,-28
108,61,-44,-4,-155,-109,-35,118,-60
66,90,18,-30,-29,4,41,174,334
-3,6,-30,-22,-28,-63,-29,37,-132
42,-40,-68,-37,-117,-95,14,70,-231
24,-7,-52,-19,-77,-55,-1,11,-176
-29,5,-64,-48,-107,-25,11,62,-195
17,87,-25,5,-76,-126,7,61,-50
25,4,-22,2,-56,-35,-15,38,-59
14,14,-13,-18,-104,-81,-21,55,-154
22,6,-42,-58,-40,-70,2,64,-116
52,16,-55,1,-94,-82,15,44,-103
22,15,-32,-35,-54,-67,-5,13,-143
-9,6,-41,-33,-56,-45,-2,42,-138
87,5,-46,27,-95,-70,6,54,-32
-3,4,-51,0,-120,-60,-12,51,-191
-8,0,-47,-38,-57,-52,5,8,-189
9,35,-39,-15,-88,-135,-29,47,-215
11,27,-34,-32,-46,-24,3,46,-49
-10,13,-15,-11,-47,-36,-2,43,-65
-17,17,-31,-24,-31,-30,-6,33,-89
35,-1,-35,-15,-81,-30,20,51,-56
-28,-7,-41,-38,-95,-60,-12,66,-215
17,39,-31,-44,-42,-52,10,47,-56
-37,-20,-65,-79,-160,-77,3,74,-361
15,12,-18,-6,-30,-74,-29,46,-84
2,12,-15,-5,-27,-43,-15,36,-55
29,-9,-26,-28,-58,-82,-6,33,-147
-10,7,-53,-53,-66,-117,-33,80,-245
8,-7,-36,-29,-45,-14,10,23,-90
26,32,-30,-12,-37,-86,-19,50,-76
19,15,-7,-11,-44,-48,-28,48,-56
30,33,-31,-22,-21,-41,17,49,14
-2,12,-43,-44,-70,-90,-23,84,-176
19,30,-20,-15,-54,-76,-4,79,-41
47,27,-64,-14,-103,-149,16,132,-108
-17,6,-74,-76,-119,-90,-12,27,-355
1,13,-35,-17,-39,-47,-15,31,-108
-1,8,-44,-41,-56,-38,-10,41,-141
8,12,-20,-40,-52,-117,-66,88,-187
16,-13,-48,-18,-70,-100,-16,66,-183
40,39,-23,-43,-93,-48,51,112,35
12,7,-11,-10,-26,-45,-10,14,-69
14,10,-10,-16,-16,-57,-8,37,-46
131,31,-70,99,-211,-120,-48,221,33
0,31,0,-9,-8,-68,4,40,-10
26,11,-32,-36,-16,-54,-18,25,-94
-23,22,-50,-25,-78,-73,-15,75,-167
9,23,-45,-17,-97,-56,21,79,-83
8,33,-68,-52,-99,-47,-5,87,-143
20,36,-52,-14,-107,-82,53,88,-58
19,21,-20,-23,-45,-43,-8,40,-59
1,16,-21,-34,-49,-28,5,40,-70
2,-24,-28,-29,-52,-53,-8,50,-142
45,-22,-101,-7,-205,-106,-44,104,-336
18,17,-15,-10,-13,-40,3,28,-12
14,38,-125,-57,-109,-142,-19,94,-306
22,40,-12,-26,-41,-74,-2,43,-50
9,3,-32,2,-49,-42,-6,38,-77
-1,21,-33,-35,-56,-30,-9,41,-102
-66,-33,-46,-8,-117,-69,-48,46,-341
-7,5,-35,-37,-47,-99,-49,36,-233
1,20,-7,6,-44,-26,1,53,4
12,38,-20,-7,-53,-87,-28,17,-128
30,24,-41,-1,-63,-38,7,70,-12
-23,14,-45,-42,-67,-50,-30,58,-185
-6,11,-32,-28,-18,-15,6,34,-48
3,10,-19,-24,-28,-15,12,50,-11
19,20,-31,-75,-114,-84,14,121,-130
7,-2,-22,-24,-25,-23,4,50,-35
-2,9,-33,-12,-51,-41,-11,13,-128
1,-2,-14,-14,-28,-36,-2,14,-81
16,7,-13,30,-28,-34,-23,39,-6
28,1,-39,4,-70,-61,-6,29,-114
20,39,-40,1,-68,-96,-6,42,-108
25,17,-34,7,-48,-67,-9,27,-82
-6,2,-22,-22,-53,-79,-36,35,-181
11,-4,-46,-30,-62,-56,-7,29,-165
-4,29,-99,-81,-165,-88,-33,97,-344
23,5,-63,-14,-115,-42,19,71,-116
16,0,-41,-40,-67,-131,-26,59,-230
7,9,-18,-15,-37,-36,2,13,-75
-3,17,-5,-32,-25,-86,-3,77,-60
28,11,-34,14,-123,-52,22,63,-71
16,35,38,31,-48,5,2,65,144
-14,10,-34,-5,-34,-44,-2,-8,-131
-6,4,-25,-25,-48,-40,-2,27,-115
-5,-18,-49,-13,-73,-57,-19,28,-206
-22,27,-54,-7,-97,-132,-84,56,-313
9,15,-62,-34,-88,-78,-7,42,-203
6,19,-51,-28,-63,-81,-8,55,-151
-18,0,-91,-107,-112,-117,-18,98,-365
12,22,-29,-7,-14,-60,-12,27,-61
10,9,-41,-51,-76,-56,0,39,-166
12,3,-25,-4,-61,-58,-4,49,-88
11,1,-35,-9,-51,-58,-12,24,-129
11,10,-54,-4,-114,-62,4,50,-159
16,2,-30,3,-73,-66,-11,32,-127
13,87,-122,-96,-124,-57,35,97,-167
13,-31,-38,-43,-63,-77,-25,65,-199
20,-2,13,-10,-87,-55,-9,102,-28
4,-3,12,13,-20,-36,-7,17,-20
12,30,-38,-37,-85,-85,-7,64,-146
12,-15,-21,-23,-53,-52,-8,17,-143
13,11,-34,-13,-77,-53,-11,15,-149
12,31,-11,-3,-21,-30,5,44,27
-10,26,-29,-30,-66,-51,-20,46,-134
14,-8,-73,-28,-97,-88,0,54,-226
12,21,-85,-23,-145,-69,31,85,-173
30,12,-13,-21,-44,-47,13,42,-28
11,-11,-39,-7,-47,-74,-28,49,-146
9,6,-35,-23,-63,-38,3,24,-117
37,24,-3,-3,10,5,12,42,124
0,28,-21,-67,-46,-118,-38,95,-167
7,1,-17,-21,-53,-61,-24,50,-118
29,15,-72,-42,-102,-98,0,73,-197
-3,19,-37,-29,-68,-96,-36,40,-210
6,23,-33,-31,-45,-62,-18,10,-150
14,30,-32,-18,-65,-25,-1,61,-36
10,28,-3,-22,-20,-49,-11,21,-46
46,28,-56,-26,-156,-106,-5,65,-210
0,25,-61,-6,-103,-63,15,72,-121
20,15,-8,-12,11,-11,4,38,57
119,68,-48,-80,-133,-104,-3,136,-45
-103,-61,-81,-39,-108,-173,-78,106,-537
66,27,-16,-2,-74,-86,20,79,14
0,-29,-76,-59,-88,-110,-28,90,-300
14,-14,-50,-36,-68,-85,-28,49,-218
65,-29,-60,-60,-120,-119,-10,104,-229
19,27,-41,-40,-51,-126,10,56,-146
-4,-10,-25,-26,-58,-87,6,58,-146
-1,26,-14,-40,-10,-19,15,57,14
-2,-6,-40,-39,-71,-71,-21,53,-197
-8,22,-12,-21,-42,-61,-21,39,-104
9,12,-37,-10,-52,-49,-11,40,-98
29,-34,-68,-19,-132,-121,1,62,-282
21,14,1,-16,-24,-63,-5,10,-62
13,40,-41,5,-60,-86,-17,74,-72
16,15,-47,-45,-43,-40,-17,79,-82
23,19,-56,-64,-106,-113,-12,70,-239
25,23,-34,4,-90,-68,-10,33,-117
-18,11,-28,-7,-14,-36,-18,36,-74
-16,6,-33,-5,-36,-47,-4,38,-97
-1,10,-29,-8,-55,-29,-3,54,-61
37,21,-60,-58,-61,-117,-14,55,-197
11,10,-25,-27,-74,-68,-30,31,-172
128,59,-14,-22,-110,-70,-17,145,99
5,17,-31,-39,-21,-75,-11,47,-108
19,34,-49,-28,-84,-76,-5,91,-98
20,34,-36,-5,-92,-39,-2,83,-37
-5,-9,-36,-60,-73,-78,6,62,-193
3,-7,-21,-15,-32,-24,-7,25,-78
31,-23,-63,-13,-132,-54,2,32,-220
4,12,-31,-14,-78,-49,-14,61,-109
8,34,-9,-7,-3,-28,2,48,45
1,-15,-29,-12,-51,-36,-17,39,-120
-3,6,-31,-41,-69,-75,-25,45,-193
30,26,-13,8,-48,-60,4,48,-5
11,6,-54,-30,-54,-84,-18,28,-195
-9,23,-65,-38,-95,-78,-8,74,-196
24,21,-36,-19,-107,-74,-17,88,-120
4,10,-28,-11,-61,-62,-26,48,-126
1,-12,-28,-32,-41,-25,8,37,-92
12,7,-26,-26,-21,-22,7,23,-46
29,-1,-45,-1,-87,-70,-10,23,-162
24,-9,-40,-44,-84,-94,-1,85,-163
36,4,43,22,-1,-11,-17,58,134
20,-32,-40,-52,-60,-95,-17,68,-208
41,-22,-33,-33,-117,-96,-14,92,-182
14,21,-21,1,-55,-72,-33,38,-107
-8,-7,-88,-36,-131,-48,2,35,-281
17,2,-31,-17,-14,-52,-14,18,-91
19,3,-34,-41,-63,-70,-10,40,-156
-6,-6,-20,-7,-82,-37,-3,53,-108
-2,33,-28,-25,-42,-55,21,77,-21
5,11,-36,-28,-79,-95,-2,35,-189
31,6,-23,-17,-24,-77,-7,14,-97
-15,29,5,-16,-35,-24,-11,35,-32
10,14,-31,-35,-37,-54,1,35,-97
-1,17,-61,-54,-87,-93,-34,94,-219
7,26,-46,-40,-108,-90,-13,40,-224
8,8,-12,6,-22,-43,-7,32,-30
-2,25,-56,-36,-81,-64,-10,21,-203
28,-8,-51,-9,-74,-52,10,44,-112
-7,-28,-76,-32,-112,-125,-7,40,-347
7,13,-42,-5,-55,-44,-1,29,-98
23,-6,-19,3,-66,-53,-10,21,-107
7,15,-12,-10,-47,-47,2,60,-32
-11,32,-63,-45,-64,-116,5,63,-199
5,50,-21,-25,-73,-72,7,52,-77
6,18,-20,-14,-54,-59,-13,72,-64
-11,21,-70,-55,-115,-70,13,63,-224
6,12,-20,-31,-39,-60,-17,55,-94
23,-16,-17,5,-50,-40,-4,40,-59
-20,-9,-64,-50,-82,-101,-24,21,-329
-2,1,-29,-29,-44,-67,-17,33,-154
4,-7,-38,-37,-73,-37,-4,36,-156
41,4,-44,-39,-41,-68,-10,54,-103
29,27,-63,-44,-40,-84,16,54,-105
13,42,-11,1,-12,-63,-2,48,16
23,27,-5,-12,-4,-29,5,49,54
37,25,-53,-28,-94,-90,1,52,-150
7,35,-16,-21,-27,-48,-6,25,-51
7,6,-59,-26,-106,-48,2,49,-175
8,-14,-25,-14,-38,-56,-37,50,-126
42,44,-52,-47,-134,-128,8,95,-172
-2,16,3,-24,-20,-27,13,56,15
4,39,-52,5,-128,-75,-8,94,-121
8,46,-62,-35,-88,-62,13,44,-136
-4,22,-89,-80,-115,-119,-36,114,-307
-7,26,-14,-26,-23,-10,-16,66,-4
25,21,-53,-44,-135,-106,-30,70,-252
19,35,-62,-64,-95,-93,-35,89,-206
11,7,-21,-30,-48,-82,-27,61,-129
30,43,-49,-32,-64,-41,-4,69,-48
-6,0,-22,-23,-31,-47,-13,21,-121
-10,-10,-39,-45,-75,-44,-29,23,-229
40,44,3,7,-20,-45,-1,47,75
26,23,-32,-25,-122,-112,-24,73,-193
2,1,-32,-28,-36,-45,-22,20,-140
13,46,-28,-8,-92,-49,-5,105,-18
10,30,-84,-61,-157,-74,-6,101,-241
33,16,-54,-23,-85,-44,-1,64,-94
27,30,-43,-36,-75,-56,-10,54,-109
-1,20,-46,-53,-77,-24,-8,56,-133
10,4,-60,-31,-92,-98,-13,43,-237
79,40,-97,-71,-194,-212,4,181,-270
6,14,-15,-19,-32,-54,-20,48,-72
23,58,-48,-37,-117,-114,14,71,-150
12,18,-8,-18,-24,-58,-18,37,-59
-5,-14,-49,-14,-38,-45,-11,25,-151
-1,0,-12,-27,-72,-48,-5,89,-76
3,-21,-48,-6,-99,-71,-3,61,-184
21,21,-53,-80,-73,-78,24,41,-177
15,-25,-25,-10,-50,-30,-15,46,-94
26,27,16,14,-65,-4,0,63,77
36,31,-37,-19,-111,-77,30,103,-44
2,-6,-51,-34,-97,-43,-1,64,-166
15,31,-40,-37,-58,-58,-3,39,-111
-12,47,-36,-41,-80,-55,-2,71,-108
32,42,-15,13,-67,-60,19,60,24
5,48,-18,-12,-63,7,0,110,77
19,19,-9,2,-41,-35,-4,13,-36
-12,-10,-25,-23,-54,-35,-10,22,-147
6,21,-51,-24,-53,-68,-15,50,-134
-3,-7,-46,-22,-52,-67,-42,48,-191
49,12,-46,-7,-112,-92,-21,46,-171
1,32,-7,-1,-24,-15,19,41,46
5,44,-20,-17,-22,-39,-3,22,-30
-9,26,-25,-31,-23,-42,-14,30,-88
9,-9,-45,-14,-73,-28,12,55,-93
-3,-8,-49,-3,-121,-68,-18,47,-223
15,44,-40,-50,-90,-136,-8,169,-96
8,23,-37,-37,-69,-85,-22,46,-173
82,3,-81,-12,-186,-164,24,54,-280
1,11,6,3,-23,-11,-4,33,16
5,14,-24,-15,-24,-37,15,42,-24
12,38,-10,-28,-27,-49,2,55,-7
6,11,-38,-36,-49,-52,2,19,-137
7,4,-12,19,-29,-11,23,19,20
5,8,-35,1,-103,-54,4,26,-148
27,40,-49,6,-102,-108,6,51,-129
10,-21,-85,-38,-188,-96,-18,109,-327
37,12,-25,-13,-33,4,-5,40,17
0,31,-31,-15,-22,-51,-7,45,-50
10,13,-59,-29,-133,-76,12,47,-215
-9,9,-28,-32,-116,-77,-31,76,-208
15,12,-29,-21,-63,-76,-22,48,-136
1,-3,-19,-31,-49,-52,-13,65,-101
-14,-3,-23,-17,-40,-28,-5,23,-107
33,-3,-38,3,-106,-107,13,72,-133
-17,-6,-15,-24,-56,-32,-8,61,-97
-16,-9,-41,-32,-52,-23,-6,-1,-180
-18,-10,-43,-41,-93,-42,-11,58,-200
30,23,-48,-48,-80,-110,-30,45,-218
-2,17,-58,-50,-59,-90,-36,56,-222
17,-14,-15,-5,-37,-27,-6,41,-46
9,29,-35,-40,-67,-102,-20,21,-205
-3,6,-24,-15,-63,-62,-18,27,-152
2,3,-47,-11,-33,-44,4,5,-121
12,-14,-53,-13,-80,-79,-8,20,-215
-7,5,-25,-34,-38,-72,-27,53,-145
7,33,-20,-17,-33,-47,8,78,9
2,16,-27,-18,-72,-80,-20,12,-187
-9,-2,-36,-33,-75,-44,21,86,-92
26,-7,-31,-5,-47,-70,-12,29,-117
1,23,-7,-22,-19,-6,2,40,12
41,-4,-36,-27,-95,-98,-36,52,-203
8,6,-2,-7,-7,-13,-9,28,4
34,23,-25,-53,-61,-111,7,95,-91
10,13,-7,-8,-24,-37,-18,41,-30
14,-1,-48,-43,-89,-85,-27,39,-240
-7,-23,-50,-54,-32,-97,-24,23,-264
8,25,-3,-35,-42,3,25,89,70
0,76,-65,-58,-104,-166,-33,114,-236
28,19,-32,-19,-19,-55,-13,30,-61
28,20,-28,-13,-47,-32,18,6,-48
-9,2,-29,-25,-32,-38,-25,28,-128
42,56,-40,-14,-45,-68,-1,59,-11
-4,49,-31,-15,-59,-64,-14,72,-66
2,1,-34,-25,-55,-54,-9,22,-152
15,-16,-33,-35,-53,-67,-17,32,-174
13,9,-18,-1,-40,-57,-24,39,-79
24,13,-15,-38,-10,-45,-13,63,-21
10,11,-14,-22,-41,-53,-13,23,-99
11,15,-91,-16,-163,-121,-11,93,-283
20,-9,-58,-25,-140,-71,2,81,-200
-28,2,-47,-49,-48,-15,2,25,-158
0,22,-26,-27,-55,-50,-18,52,-102
-9,14,-27,-27,-56,-31,7,15,-114
-9,26,-31,-17,-50,-50,-29,24,-136
-5,5,-39,-36,-36,-29,0,54,-86
5,12,-24,-11,-6,-49,-7,-12,-92
4,33,-20,-12,-27,-40,-11,62,-11
42,70,-71,-63,-117,-136,-40,102,-213
-4,24,-47,-1,-89,-116,-13,37,-209
19,32,-18,-27,-51,-132,-19,76,-120
33,15,-29,-25,-76,-84,2,74,-90
9,-2,-54,-25,-69,-64,-15,42,-178
16,11,-31,-18,-73,-47,-28,58,-112
11,12,-12,-20,-34,-35,17,34,-27
-1,0,-35,-20,-54,-6,-4,31,-89
4,13,-32,-12,-53,-57,-13,28,-122
36,16,-41,-28,-52,-68,-22,39,-120
29,20,-47,-24,-103,-91,-7,119,-104
-19,9,-26,-21,-97,-41,-16,71,-140
-5,9,-23,7,-62,15,4,43,-12
21,28,12,-6,-26,-59,0,58,28
12,24,-16,6,-44,-26,10,10,-24
20,10,-42,-16,-53,-52,6,26,-101
4,10,-33,-36,-53,-52,-11,37,-134
24,5,-15,-6,-44,-42,-3,16,-65
25,0,-31,3,-56,-61,8,31,-81
26,-2,-57,3,-143,-74,25,95,-127
13,11,-5,-24,-34,-68,-12,50,-69
20,-23,-34,-60,-88,-96,-31,66,-246
52,13,-8,10,-128,-46,-26,88,-45
63,-15,-52,-45,-72,-174,7,50,-238
